Country,GDP (Billion USD)
United States,30507217.0
China,19231705.0
Germany,4744804.0
India,4187017.0
Japan,4186431.0
United Kingdom,3839180.0
France,3211292.0
Italy,2422855.0
Canada,2225341.0
Brazil,2125958.0
Russia,2076396.0
Spain,1799511.0
South Korea,1790322.0
Australia,1771681.0
Mexico,1692640.0
Turkey,1437406.0
Indonesia,1429743.0
Netherlands,1272011.0
Saudi Arabia,1083749.0
Poland,979960.0
Switzerland,947125.0
Taiwan,804889.0
Belgium,684864.0
Argentina,683533.0
Sweden,620297.0
Ireland,598840.0
Israel,583361.0
Singapore,564774.0
United Arab Emirates,548598.0
Thailand,546224.0
Austria,534301.0
Norway,504276.0
Philippines,497495.0
Vietnam,490970.0
Bangladesh,467218.0
Denmark,449940.0
Malaysia,444984.0
Colombia,427766.0
Hong Kong,423999.0
South Africa,410338.0
Romania,403395.0
Czech Republic,360244.0
Egypt,347342.0
Chile,343823.0
Iran,341013.0
Portugal,321440.0
Finland,303945.0
Peru,303293.0
Kazakhstan,300538.0
Algeria,268885.0
Greece,267348.0
Iraq,258020.0
New Zealand,248666.0
Hungary,237070.0
Qatar,222776.0
Ukraine,205742.0
Nigeria,188271.0
Morocco,165835.0
Kuwait,153101.0
Slovakia,147031.0
Uzbekistan,132484.0
Kenya,131673.0
Dominican Republic,127828.0
Ecuador,125677.0
Puerto Rico,122522.0
Guatemala,121177.0
Ethiopia,117457.0
Bulgaria,117007.0
Angola,113343.0
Venezuela,108511.0
Oman,104351.0
Costa Rica,102591.0
Croatia,98951.0
Luxembourg,96613.0
Ivory Coast,94483.0
Serbia,92549.0
Panama,91675.0
Lithuania,89192.0
Turkmenistan,89054.0
Ghana,88332.0
Tanzania,85977.0
Uruguay,79731.0
DR Congo,79119.0
Azerbaijan,78870.0
Slovenia,75224.0
Belarus,71561.0
Myanmar,64944.0
Uganda,64277.0
Bolivia,56339.0
Tunisia,56291.0
Jordan,56102.0
Cameroon,56011.0
Macau,53354.0
Cambodia,49799.0
Bahrain,47829.0
Libya,47484.0
Nepal,46080.0
Latvia,45535.0
Paraguay,45465.0
Estonia,45004.0
Cyprus,38736.0
Honduras,38172.0
Zimbabwe,38172.0
El Salvador,36749.0
Georgia,35353.0
Iceland,35309.0
Senegal,34728.0
Haiti,33548.0
Papua New Guinea,32835.0
Sudan,31506.0
Guinea,30094.0
Zambia,28910.0
Bosnia and Herzegovina,28807.0
Albania,28372.0
Burkina Faso,27056.0
Trinidad and Tobago,26467.0
Armenia,26258.0
Guyana,25822.0
Mongolia,25804.0
Malta,25750.0
Mozambique,23771.0
Mali,23208.0
Benin,22236.0
Niger,21874.0
Jamaica,21411.0
Nicaragua,21155.0
Gabon,20391.0
Kyrgyzstan,19849.0
Moldova,19462.0
Botswana,19400.0
Chad,18792.0
Madagascar,18708.0
North Macedonia,17885.0
Yemen,17401.0
Laos,16322.0
Brunei,16007.0
Mauritius,15495.0
Congo,15281.0
Bahamas,15178.0
Tajikistan,14836.0
Rwanda,14771.0
Namibia,14214.0
Malawi,13959.0
Somalia,12994.0
Equatorial Guinea,12684.0
Mauritania,11470.0
Kosovo,11274.0
Togo,10023.0
Montenegro,8562.0
Sierra Leone,8386.0
Barbados,7552.0
Maldives,7480.0
Burundi,6745.0
Fiji,6257.0
Eswatini,5483.0
Liberia,5166.0
Djibouti,4587.0
Suriname,4506.0
Aruba,4100.0
Andorra,4035.0
South Sudan,3998.0
Belize,3611.0
Bhutan,3422.0
Central African Republic,2932.0
Cape Verde,2786.0
Gambia,2771.0
Saint Lucia,2632.0
Lesotho,2404.0
Antigua and Barbuda,2373.0
Guinea-Bissau,2274.0
Seychelles,2198.0
Timor-Leste,2115.0
San Marino,2047.0
Solomon Islands,1898.0
Comoros,1548.0
Grenada,1464.0
Vanuatu,1267.0
Saint Vincent and the Grenadines,1242.0
Samoa,1160.0
Saint Kitts and Nevis,1129.0
São Tomé and Príncipe,864.0
Dominica,742.0
Tonga,568.0
Micronesia,500.0
Palau,333.0
Kiribati,312.0
Marshall Islands,297.0
Nauru,169.0
Tuvalu,65.0
